,기준뉴스문장,임계치문장,코사인유사도,클러스터갯수
1213,연합시론 새해는 응전의 시간…소처럼 우직하게 진격하자,연합시론 새해는 응전의 시간…소처럼 우직하게 진격하자,1.0000000000000007,1
8619,사망보장 동시에 연금 종신 보장하는 달러보험 나왔다,신안군 주민 태양광 연금 월 최대 42만원  받는다,0.8366243541028495,5
8461,규제지역서 내집 마련하려는 청년들…일단 이것부터 해두자 정연일의 청약ABC,신축년 새해 첫 청약 전국 2천여가구 청약 접수,0.8363914037956728,4
7391,fn마켓워치한화생명 수원사옥도 매각,매각 임박한 쌍용차‥법정관리 위기 조기 탈출 성공하나,0.8342286653901815,15
4562,소독 철저히,신년 연휴 맞아 전국 가금농장 AI 방역 소독 실시,0.8272345914157627,7
7882,레고 라방,SM타운 라이브 186개국·3583만 스트리밍..전세계 K팝 점령,0.8214302362155965,6
4710,‘16개월입양아 학대사망’ 정인이 썰렁한 수목장 근황,청년의힘 아동학대 사망 정인이 살릴 수 있었는데…경찰청장 사퇴하라,0.8172729828981509,7
7923,메리츠證 지금은 대세상승 초입…2023년까지 구조적 상승장,정 총리 “지금은 대선주자보다 총리…한눈 팔면 안 되는 입장”,0.8165497337041688,9
1500,김상조 그대로 정책기조 그대로...쇄신보다 안정이 급했다,비서실장 유영민 민정수석 신현수 김상조 사의 반려,0.8146050403846166,4
2699,떠날 채비나선 폼페이오 강경화에 “즐거웠다”…대북외교 과시,폼페이오 새해벽두 북미관계 자화자찬 줄트윗…역사적,0.8126560776452947,6
2783,폼페이오 북미관계 자화자찬…역사적 폭풍트윗종합,폼페이오 새해벽두 북미관계 자화자찬 줄트윗…역사적,0.8126560776452947,6
6762,아사히 밀어낸 편의점 수제맥주 비결은 재밌어야 팔린다,NOW ‘신데렐라 편의점’… 밤이 되면 알바가 사라진다,0.8078657746120309,4
5309,순천 신대지구 공공시설 부지에 고층 오피스텔 몰래 신축 “마찰”,나 몰래 구독 서비스 ‘자동결제’ 전환 막힌다…해지도 쉬워져,0.8024770406526114,4
6972,낡은규제혁파①최고세율 절반·할증 폐지..정치권 상속세 개편논의 살펴보니,스물스물 청년 취업 잘 시키는 대구…정책 비결 살펴보니,0.8022303846832987,3
7107,코스닥人김종철 멕아이씨에스 대표 “포스트 코로나 문제없다”,임영빈 前삼성생명 고문 삼성생명공익재단 대표,0.8019429020612769,5
3599,헌재 주가조작 징역·벌금 동시처벌 합헌,허위공시로 부당한 돈 벌었다면…헌재 징역벌금형은 합헌,0.8009203344268151,16
5629,뉴스딱 비틀거리는 전동킥보드…이게 차냐 음주 측정 거부,암환자 권익단체 국시 거부 의대생 재응시 기회 안돼,0.8006124161066214,6
3235,이부자리 말고는 공간 없어…노동부는 실태조사 거부,암환자 권익단체 국시 거부 의대생 재응시 기회 안돼,0.8006124161066214,6
7978,전기차도 주행거리 따라 세금내야,유은혜 “입시·채용 불공정 법과 원칙 따라 조치” 2021 신년사 발표,0.799139947680375,4
8547,물멍 불멍을 아시나요…집콕 이색 힐링 화제,e주말 뭐먹지채식주의자 위한 이색 떡볶이,0.7971440995005679,6
6785,이색 조합으로 먹는 재미 UP...외식업계의 맛난 만남,e주말 뭐먹지채식주의자 위한 이색 떡볶이,0.7971440995005679,6
